Timer,K_decision,Rejection_Threshold,Final_Error,Converged
3,4,7,1867.2923523393322,False
3,4,8,2021.0015399177662,False
3,4,9,2080.4596298688693,False
3,4,10,2041.9884431468347,False
3,4,11,2023.7949601397072,False
3,4,12,1765.8244594177036,False
3,4,13,2117.8823825497725,False
3,4,14,2038.7911555743594,False
3,5,5,1640.7003001163569,False
3,5,6,1595.0829910673936,False
3,5,7,1628.3709458110488,False
3,5,8,1629.0651587471962,False
3,5,9,1592.6856217679128,False
3,5,10,1585.9118980427618,False
3,5,11,1605.5573680591317,False
3,5,12,1600.5373475085419,False
3,5,13,1578.2352781346162,False
3,5,14,1577.5784947257437,False
3,6,5,3546.2702996945372,False
3,6,6,2674.158827676258,False
3,6,7,2281.965974714429,False
3,6,8,2098.379543054206,False
3,6,9,2165.8232639609946,False
3,6,10,2468.272045725026,False
3,6,11,2174.907900647435,False
3,6,12,1954.3080725936707,False
3,6,13,2456.902315143195,False
3,6,14,1761.492264597477,False
3,7,5,3808.4841224077586,False
3,7,6,3765.213182247438,False
3,7,7,4282.923446407541,False
3,7,8,5294.389714568472,False
3,7,9,6571.619028561738,False
3,7,10,3516.9756110256913,False
3,7,11,4717.823679588349,False
3,7,12,2848.1617604002695,False
3,7,13,2332.638123136672,False
3,7,14,5513.734476850962,False
3,8,5,2001.5463078739542,False
3,8,6,3735.319842046409,False
3,8,7,2137.435533087078,False
3,8,8,1884.1289610883132,False
3,8,9,2099.434965413454,False
3,8,10,2109.4043346513117,False
3,8,11,1768.4449062310518,False
3,8,12,1988.0398296347296,False
3,8,13,1916.1020436482404,False
3,8,14,1975.702300507612,False
3,9,5,1780.3938147750282,False
3,9,6,1594.890536217552,False
3,9,7,1582.8455751931288,False
3,9,8,1604.874210759303,False
3,9,9,1592.8204284936098,False
3,9,10,1573.4203987446197,False
3,9,11,1579.1327013645598,False
3,9,12,1607.8816689772004,False
3,9,13,1583.0719496880429,False
3,9,14,1566.1255524351889,False
3,10,5,1557.9650503195514,False
3,10,6,1557.7047125347287,False
3,10,7,1558.1236227249808,False
3,10,8,1557.9048152165738,False
3,10,9,1557.3960851524712,False
3,10,10,1557.3960851524712,False
3,10,11,1557.3960851524712,False
3,10,12,1557.3960851524712,False
3,10,13,1557.3960851524712,False
3,10,14,1557.3960851524712,False
4,1,5,6555.504741985052,False
4,1,6,6568.434543319064,False
4,1,7,6570.352380497283,False
4,1,8,6540.329592413367,False
4,1,9,5919.989674504976,False
4,1,10,8579.67294718355,False
4,1,11,6471.079730180539,False
4,1,12,6528.787001081821,False
4,1,13,5923.260160367685,False
4,1,14,8542.981427298671,False
4,2,5,3446.1529640178182,False
4,2,6,2067.728934117293,False
4,2,7,2221.5953482285513,False
4,2,8,1888.4696791470976,False
4,2,9,1968.8910444555106,False
4,2,10,1986.3532192681864,False
4,2,11,1709.098040844956,False
4,2,12,1821.0981979832486,False
4,2,13,1833.9610446653592,False
4,2,14,2156.004244596476,False
4,3,5,4525.24989441361,False
4,3,6,4508.853563401763,False
4,3,7,4535.835651279629,False
4,3,8,3620.17921635945,False
4,3,9,2222.744889413406,False
4,3,10,1909.1126783744503,False
4,3,11,2117.425539203942,False
4,3,12,2449.4816004135573,False
4,3,13,1941.5031927418327,False
4,3,14,1999.9204175831944,False
4,4,5,4553.992138154268,False
4,4,6,2732.2937324723985,False
4,4,7,1868.471515322846,False
4,4,8,1900.612621378618,False
4,4,9,2334.894267160772,False
4,4,10,1726.0449824500433,False
